	2459
印记	3582
重量	4378
复杂	1555
我也不知道	273
头彩	3098
正确	2539
气	1522
俞敏洪	5347
等于	2594
你有吗	4198
有病	6324
爱	58
裤腰带	2228
不大	6419
丽江	6614
太	148
搬	3246
辱	5594
爸	2481
电脑	1445
悲痛	1947
正忙着	2028
美好	1596
美女	3664
解解闷	5493
多加	5943
干净	777
一次次	5412
严令禁止	3132
笔记本	5275
贵姓	3353
标准	3599
告终	2301
想知道	1466
没有	131
饥饿感	1691
相遇	5424
酒量	3695
大好	6764
连续剧	4703
没来	3051
相逢	5442
良久	6515
上网	4873
就要	1663
最受	6176
周日	3951
凑热闹	427
恭喜发财	5317
有用	2462
消灭	493
苍老师	6514
唐僧	6480
力气	1133
鞋	3576
化妆品	2382
神经质	1516
白搭	769
就行	629
咖啡	3234
带	1159
多口	6190
前段时间	1615
性能	4985
磕	1056
奔	1942
骗子	1356
进	880
天蝎座	4443
承受	1530
大王	5606
掉头	570
兄妹	4206
脑袋	998
奖学金	2282
者	1304
方面	3345
areyoureadyto	3440
一百块	6737
儿子	3046
文学	6539
鼻	5825
尽	6725
鼓励	6189
命令	6820
美声	5098
伤害	6638
用力	3678
主演	5144
喷嚏	5969
打烊	678
的话	298
应不应该	4299
零	2825
特	4686
晨练	4252
全国纪录	6247
洗发	6491
看来	2562
摩羯座	6226
说了算	4524
会	14
玩些	4184
猫叫	5302
通知	5658
物取	3305
赢得	5173
双子座	4442
傻	2751
常看	4722
服务	354
名宁	6347
快来	4386
家里	1403
要到	2281
奶	3271
放屁	6115
事件	6047
乐一乐	3865
近况	757
处事	5017
吓	2191
摇滚歌曲	4631
火影忍者	6423
细不细	6387
甩	6606
扮演者	6512
了没	3444
名字	225
有过	3711
阿	1667
喉咙	973
眼晴	3529
表述	3888
谁家	3348
只差	3487
脸长	6183
English	3880
沙子	882
找朋友	6542
多少	746
药药	6197
要加	3415
叮咬	6392
剧	4590
欣喜若狂	2842
安康	4256
年纪	3463
其实	6384
不动产	4485
馋	6596
最小	4199
指教	5322
有苦难言	1553
露水	6503
爸妈	3293
一大堆	2630
冻	1733
狗血淋头	2183
两道	3056
早就	6457
婉拒	4753
头发	3493
诗	5297
晕乎乎	1041
峰回路转	1504
了不起	2915
优缺点	4112
腰	1253
关门	2279
事算	4196
永远	339
男宝	5037
幺	6822
乐美	5711
心脏	1674
大款	4489
从此	6337
男孩	4185
明儿	5350
玩会	453
堆积如山	5975
关键	2953
冰激凌	1955
预测	5288
迷路	512
美团	4636
领证	3086
美国	4726
压根	2573
放工	679
典型	4098
安徽	4681
精神	1285
痨	2636
拓展	1008
百合	6549
微信号	6370
上火	977
那狗	5480
药膏	1261
结论	4015
宝宝	534
修牙	1076
有种	1543
卖力	5117
包括	4712
销售	5473
毛遂自荐	3893
钗头凤	6588
咱俩	3903
作用	3326
坚决	3116
毁	2437
开着	5003
想托	5252
机票	5980
种	4345
街上	1743
南北	1033
都不嫌多	6056
酒	1247
群架	3694
特色	2576
声情并茂	2388
哥有	3164
氛围	2124
上班	1103
试一下	5752
太空	4778
惊悚片	4725
小	381
老样子	2213
英言	6373
熬夜	1995
开了花	2860
大半夜	6597
白头发	3502
双眼皮	3521
难搞	3024
快断	1254
areyouready	3435
聪明	315
多年	5433
结婚的人	4536
编程	5624
厨房	6042
才	202
话题	193
最忌	5622
唯一	3031
名头	332
章	6165
通用	3882
碰瓷	6154
晕晕	1091
才行	1415
家务活	4504
生物	4771
自由自在	2249
较	4316
日照	5773
胆小如鼠	2560
之上	1300
花	2365
要关	3417
大概	3901
放开	5823
去	417
放弃	1538
咱们	576
讨论	3425
说不说	5929
版型	4649
美味	5369
全身	1140
雄性	5026
男歌手	5127
麻将	4683
杀人	5829
小燕子	6660
英语	2971
这水	1901
跪求	5265
那点	2555
男女	5023
星球	4773
瞬间	2157
要出	5920
下一个	4824
三生	6554
聊得	6620
脚崴	915
面色	3361
愿望	4401
世界观	1519
猪八戒	3374
幽情	3203
助手	5281
您	725
悲哀	1642
浓密	3512
没涨	3093
塑料瓶	2463
五子棋	6609
姐不去	3177
情趣	5949
最多	2626
一堆	861
由	5846
摇滚歌手	4629
疲倦	3209
没玩	2049
戴	4324
砸	938
麻痹	5551
听见	2044
历史舞台	658
联系方式	6426
呐	3394
嘴里	1908
杰士邦	6124
主播	5164
站不稳	1227
广泛	4916
比尔盖茨	5621
这次	362
蹬	2676
武汉话	5670
想	82
这款	2793
不香	1104
用处	3346
疲惫	3215
电话	1350
快掉	3499
买菜	2359
一天天	2632
像样	5498
微笑	2850
不饿	4812
飙泪	887
脸色红润	3379
朋友	75
难戒	6589
赋予	3975
打算	3135
跳段	4576
越来越	2391
有缘	6800
难找	6106
对面	4493
拉丁舞	4569
提议	4752
家长	1481
火车	1646
嘴边	856
可能性	2956
男孩子	6023
丰厚	3095
空荡荡	2039
的故事	3080
过节	2090
单身生活	3067
透顶	1850
躯体	4041
放大	2566
瞧	2254
否	4328
姑娘	2872
眼	3221
北方	3780
迟钝	2497
美剧	4597
生病	902
云是	4037
抱抱	1569
蛋蛋	3298
看我	1884
没法	1937
聊天	785
谁	5
过舞	4575
年轻人	4705
父亲	3491
没水	1918
小猫	504
病得	6340
不顺	1828
中	352
卡住	5974
大大的	3528
后会	601
小龙虾	4145
快拉	1218
脑筋急转弯	5741
密码	128
男女朋友	5223
皇上	714
太静	4061
眼前	483
吵架	1524
琥珀	4072
愿意	185
包放	1457
挨骂	1883
冷风吹	1744
白	3504
五十	3377
山东	6524
说话	327
酗酒	3701
活该	1328
山上	3953
告白	3148
爱你	399
要命	1235
敬仰	4242
揉	6088
进沙	889
失业	2180
不自在	6781
屌	6705
干些	4176
楚	2522
生子	3075
听说	1584
恐怖片	4719
女同事	5036
听课	5936
喝口水	6215
经营	4130
流行歌曲	5095
记忆力	2523
电视	1325
周涛	3
大气	3719
动	1269
闭嘴	2633
添加剂	3336
没演	4782
下楼	2816
智商太低	2821
染色	3496
迫不及待	844
降火	1185
姑姑	5448
跳槽	2936
进水	2759
早安	5374
依据	6551
吃坏	943
栀子花开	4964
打破	6246
想有	1717
就职	4877
请勿打扰	668
安好	4255
会聊	5647
工资	824
保养	3381
綦江	4666
脑胀	1038
看恐	6264
物品	5094
不高	2827
万物	3733
热情	343
挺火	5986
拉	1214
试卷	2153
聊	544
犯得着	2602
坐	520
吃土	2357
爱上	4170
呵呵	4868
猫咪	3349
零下	1763
听见你	291
方龄	6845
富有	4480
并	2406
这样	100
少女	6243
我牙出	1072
抱恙	1129
冰淇淋	6397
好不容易	5425
聚会	2340
多字	3859
构成	4740
乱	2644
上瘾	2348
客观	6421
知识	393
告知	3258
大海	3112
文化	6862
哒	4869
噪音	2058
锈	2831
王丽	1768
妹妹	3505
季	6752
秤	4379
喜爱	4172
儿化	3285
爱人	3082
智能化	3996
无法回答	2447
爬山	2510
抱怨	1971
性取向	5021
美国人	3784
别	257
鬼天气	1546
千万	6018
身子	1658
白天	5787
经验	3792
Ella	5817
能定	5632
日剧	6259
没熟	1689
小小	1119
拍照	3871
天空	4849
真心话	5499
节奏	4953
揍	2100
朽木不可雕	1848
感兴趣	4082
消化不良	1414
空空如也	6210
换	192
发高烧	1137
胃口	1250
烫	1150
骗人	6470
对话	1321
吃	90
的	16
降温	1736
打架	3186
难受	29
李雷	1845
吸上	2350
給我	3926
外国话	5836
我是鬼	6720
坏东西	967
失	1294
反应	395
异样	903
先生贵姓	3262
旁边	444
我桌	1455
五一	5271
流血	925
恋	2160
流行	3863
花开	2843
能学	6219
风格	4955
独生	4215
关键在于	6441
怎么	31
赶上	1823
手里	3550
声	135
有意	98
安全套	6181
太难受	995
美丽	823
没点	2546
反弹	2304
欢乐颂	6674
个	84
之后	1411
日常生活	4177
苹果	3367
款式	4655
热线	1993
堵车	1490
骚扰	666
发工资	1486
Ktv	4961
拍	4644
昨天	758
后台	4871
ml	5707
救护车	1132
一季	4974
其它	3819
昨夜	1307
教室	552
多一些	4980
双脚	3587
占卜	5729
送	60
微博号	4517
想玩些	6077
美人	6207
最牛逼	5278
一定	1004
呼叫	6128
美事	5509
户籍	3755
如隔三秋	5445
一家	3913
受欢迎	4131
现身	6814
赔本	5735
胃痉挛	5813
怎能会	4728
冰棍	1772
玩笑	2432
良好	2598
长假	1978
自夸	2591
一代英雄	4095
什么	43
饭后	6870
大点	4819
张杰	5125
啪啪啪	4867
睡懒觉	1394
自大	2587
变得	1174
麻辣烫	6026
停水	1899
事情	1487
别烦我	442
咯	1401
肌肉	3603
膨胀	1985
goodmorning	6846
热到	1984
基本	3486
病	1073
想不起	2516
根	6593
五指	3577
脚底	916
武侠	5139
慢	2494
看得清	4323
俩	3078
录取	2857
真想	1404
长发	3520
实用	3802
权志龙	6231
渴望	4936
角色	4700
这病	3743
内心	1601
胡思乱想	6448
做成	4024
人物	4097
大坏蛋	6700
民族舞	4577
能够	1514
双十一	5698
顺利	832
真怪	4744
真急	1965
上次	4217
哪能	6050
手	1668
背	2908
收音机	2148
问题	283
宋小宝	2390
冲剂	1086
擤	1110
猎豹	5629
帝都	2268
贱人	2016
艺考	5874
同志	682
一声	5462
深奥	4747
今天	683
翻江倒海	6730
谈天说地	6538
冷暴力	6394
照顾	1134
草莓	6334
黄晓明	3978
那样	104
妻子	3146
开玩笑	2401
一天	531
兴趣爱好	4564
步入	6193
一头	1684
邮箱	3317
而战	4394
主管	3014
出名	5122
姊妹	4205
零分	2170
遗传	4327
运行	4888
泡脚	3232
耍	1383
长到	5957
没爱	5896
亲切	3287
喷射出	2854
喜剧片	4588
脚形	3572
皮	1867
厘米	4373
双色球	6066
看人而定	4662
竞争对手	6523
捉妖记	5616
你的脸	3585
导演	4793
牛人	4115
失去	488
灭	1187
消散	501
真慢	2492
操作系统	5276
亲给	6631
来自	3762
要么	3115
无精打采	3192
卫生	6864
扭伤	1270
转转	1608
圆	5688
倍受	2307
阅读	2505
对答如流	2927
知道	2
呀	74
健身	2985
法海	6681
嘴角	1178
现在的心情	3402
两条	5863
手长	3563
业余爱好	4181
爱唱	4962
魔兽争霸	5832
双胞胎	4695
咽不下	1426
太撑	1418
几角	441
河南话	6693
一年	3941
闽南话	6095
身心	1528
没用	2456
生气	258
出口	644
变多	3068
头上	5555
闹铃	5633
世界末日	5291
颜色	1665
一座	1535
坏掉	4820
苏州	4674
wow	6285
变大	5675
歧视	5889
玩刀	5746
总卖萌	3861
炉石	6412
出发	2274
有望	6634
有期	602
角落	4943
大白	5820
冷冷	6465
出去	468
收拾	3904
亚麻跌	5730
幸福	2010
九阳	6034
实现	3922
防	6390
上海	2232
终身	3141
十年	6741
变好	3036
晚安	693
信息	3233
怎	127
故障	2149
刚	271
冰水	1060
门牌号	4893
到达	119
葫芦娃	5791
不傲娇	6306
失去耐心	2022
脚妈	6563
没得	1897
男盆友	5947
白白	604
打扰	661
自己去看	1112
过高	1153
打扫	3554
打扮	6627
机智	4370
女里	5029
要会	6112
填满	1009
怎么回事	265
雨天	1259
离不开	4685
民风	655
真有	328
ready	3439
好想哭	1856
生活	1729
益智	5154
没理	6640
今年	1739
叔叔	5031
就	303
脚好	931
四肢无力	5696
爱哭	1881
热量	3106
垃圾	1441
满足	6298
块	2773
不顺心	1905
揭不开锅	1473
反对	766
无	2313
不老	3731
事有	4498
脚大	3569
羡慕	3022
三次	2667
干的事	5065
诉苦	1712
磨人	6767
内	4350
这么	206
安	5655
不好意思	93
抗战	4585
正儿八经	6760
破	1520
愁闷	1497
太万笑	2661
同学	1358
就餐	4814
演白	5809
淋雨	1146
呼吸	1176
发展趋势	4731
乐	5159
英雄	5933
敢	1014
炒鱿鱼	2187
咱去	5232
天王盖地虎	5963
长城	5579
天生胆小	2564
左手	3549
微博名	4515
但是	5661
婚后	3071
小黑点	6335
高不晕	1018
压着	1537
婚否	4231
缺爱	5251
弱	2569
大理	5664
牙好	1071
别出去	5967
没睡	1034
白痴	2756
换季	6729
巴啦啦	6010
自己	434
玩偶	3981
吃些	5058
抗拒	2420
呗	477
笑笑	5690
痛到	6396
真可爱	4078
民俗	656
羞涩	5880
喜欢	37
消息	2261
过饭	4817
菊花台	6648
课	2686
忘事	2529
瓜娃子	6526
假期	3243
滚开	464
自我	2597
云	4031
频繁	4648
预防针	6014
独生子女	4223
记性	310
海鲜	6778
若琪	5884
操	1560
发小闹	2011
呼唤	6805
定期	4178
冷到	2443
远离我	480
载体	4880
背后	3688
期间	1275
之前	3768
种子	6791
玩儿	518
文艺片	4580
身体健康	3101
说实话	1376
嘛	160
闪光点	6749
孔孟	6601
三楼	3738
能用	6453
英文课	6233
对象	1732
支持	4981
滋味	994
托付	3140
学学	4197
爱动	5074
皇后	5909
德云社	2394
眼神	4330
南京	4673
桌上	5858
国庆节	5387
这点	2527
感谢	6094
批	1484
识别	350
乐意	4657
小敏会	5592
待	463
一切	2013
狂野	5803
粤语歌	4958
假人	4039
荣幸	4548
外	4772
眼皮	3185
看着	1422
做梦	6499
爱好	3448
宰相肚里	3720
我要离开你	6863
一到	1258
喲	3370
姓名	3256
明星	3964
肥减	3108
绿帽子	5554
理解能力	2503
态度	247
看看	1225
马	674
落选	2164
替	3181
页面	620
好久好久	5446
我爱豆	6742
聊聊	781
不赢	2119
不起	2122
残酷	4397
首	4019
长大	2550
上床睡觉	686
闲时	5142
异性	5019
交	2215
不欢	5779
海拔	4376
长处	3837
学名	3254
流鼻涕	1087
片	4586
准	351
hellohello	5406
大选	6860
出征	3769
撤退	564
倾诉	1402
圆形	4025
具体	3799
过面	5566
卧谈	5341
演示	4044
睁开	6775
会话	4664
天猫	4656
戒	2343
算	3668
心意	4756
韩剧	4584
吞	6689
肠胃	951
胡辣汤	5363
算是	4011
能力	866
再也不会	1638
昨儿	6654
心里	535
一半	4113
晴朗	2869
内向	5340
买房子	4897
最怕	2480
以	2300
层次	4102
卑俗	2736
脚趾头	3567
两者	4842
危险	5852
不清楚	173
星星	1029
能到	3921
每逢	3387
生意	3028
自动	627
曹国伟	4137
话说	217
大笑	5910
深刻	3309
孕吐	1704
寂静	2048
难看	2834
话语	6843
要不	6108
中国移动公司	2983
一双	3527
字	3289
总在	3390
更年期	2537
跳绳	6358
欲穷千里目	6269
眼睛	878
做作业	2504
心酸	5756
真正	6229
宁	5456
晒得口	1915
碗	1874
最会	4579
脑门	999
同事们	3015
付盛熟	4127
只会	6455
softkitty	6703
按时	118
可耻	6344
边	803
游	3020
小田	1765
可聊	5325
亲密	5959
散步	804
忙	420
裁员	2195
孤单时	6854
另一半	3155
吃完饭	6883
相貌	3635
爽	2861
多人	6093
灿烂	2855
亚洲	5890
羞愧	3656
闹肚子	1222
出差	5668
多么	1819
过错	4757
作文	6114
调高	3418
业余	4717
次	6013
困扰	2646
聚在一起	6635
取悦	5782
CEO	4092
我托	2199
风扇	6875
躯壳	1641
课后	3208
快痛	983
帮不上	421
好几斤	2976
今儿	4479
方言	2725
盼望	5422
冷得	1783
可能	183
胃好	1230
飞信	4645
近来可好	4459
口诀	5793
下车	3729
只为	2924
爆	1588
会见	600
痛心	1842
消消	5158
怒	2030
好想回家	6874
嘞	6811
被扣	2178
乐观	5641
棒棒	5212
纠结	5352
会笑	3655
这类	5100
穿鞋	3571
我太困	3171
三日	3019
崇拜	4240
这顿	3102
动画片	4587
目标	4388
干完	1525
派来	5550
偷过	3691
早上	1050
一具	1639
羞怯	3661
后天	4363
朝鲜	6529
自傲	2595
难用	2465
多余	6786
应用	2454
胡闹	6201
烦心事	1621
机械	3988
给我一个微笑	5881
后备	5750
按摩	3590
想玩	6483
吵	268
五一节	5272
傻蛋	5390
赌博	2408
建议	3315
这堂	5217
祖先	4732
吴亦凡	5638
从	475
闲暇	5070
写作	6575
排解	1604
没空	740
没穿	1755
之内	5476
最令	6147
选在	589
好长时间	835
哪见	5450
香炉	5774
水果	3759
打款	2245
穷光蛋	2373
加班	681
友人	6333
那有	6074
不见	486
之处	2662
五分钟	1396
直叫	1680
度假	6294
小蛮腰	2998
点玩	5545
外文	3312
怕冷	1770
请你原谅我	156
回答	365
冷天	1779
队友	582
香烟	3122
待会	451
做法	4034
男人	3972
在床上	3173
人生赢家	5818
见面	5226
不要	1996
卡哇伊	2882
探戈	4571
必须	583
接受	4164
祖国	3790
拿	107
夺冠	6245
夸夸	6485
金牛座	4435
填写	4890
非常	239
深圳	6748
依然	2017
唱	355
创造	4043
质量	723
鱼线	3006
舞池	4557
身型	3618
男中	6531
洗发水	3340
暖和	1747
记住我	6699
一回	6080
灵活	2709
惨	1335
天空的颜色	5085
诉说	799
一困	3190
认错	5799
杯	6686
夸奖	2950
岁	3468
想生	4186
理	454
玩意	2795
湿润	1946
玩意儿	2796
受骗上当	1384
题目	2140
天真	2668
并肩作战	5745
艰难	3856
钱	112
一地	2425
情人节	59
看牙	1066
赚钱	2411
不耐烦	1800
日本	5557
林志玲	5283
笑点	2427
先	428
一块	947
特长	3821
名人	4246
溜冰	6024
精疲力尽	1510
样式	6134
退走	705
不易	6571
生日	3481
脚冰	922
英文名字	3301
韩国	4701
选	5077
组织	623
秋天	4615
冷水澡	1952
时间	547
女明星	5200
偶遇	5413
提高	4368
名义	5988
忍不住	1882
热爱	1992
夏雨荷	6308
废话	755
探探	4659
皇帝	5679
立马	646
男伴	5264
拘束	3660
召唤	6331
乱说	305
距离	6590
真潮	4341
企划案	2958
哪过	4414
不该	103
一吃	965
再給	3924
那支	5175
一名	2551
施工	2079
扩建	5680
粗	3612
阿姨	4696
多	48
太满	2610
几代人	4263
劳	5494
嫁娶	3154
唐僧西	5805
呜呜	2694
不让	2105
幼儿园	5894
过重	3598
不许	4862
信	4354
脚动	924
出处	4081
撑起来	3579
平时	2655
学历	6519
主主播	6349
这种	1408
之所以	1547
体重减轻	2997
风景	4680
下	242
处境	3433
上有	4768
花光	825
之容	3639
变化	2314
疙瘩	3645
老房子	6643
青菜	3103
棉花糖	4035
丟失	1440
会谈	5329
会卖萌	3868
瓜子脸	3644
低落	1863
打	1963
女汉子	6824
准备	554
王毅	6756
逗留	3772
渴死	1887
看美剧	4592
应酬	1527
屋里	1950
林允儿	6623
困	1693
闲	3795
甚为	6568
上来	2346
一百万	6510
处处	5267
独立	6152
熟	5053
天生	4426
相见	5619
海底	6447
猜谜语	5757
车型	4998
热点	5569
借给	4999
厅堂	6040
hi	5321
营养	6879
猛烈	1982
七夕	5385
葡萄	6460
卸完	3965
歇一会	3217
热热	3686
小伙伴	452
混	5861
年终奖	2174
没给	2477
姑奶奶	6770
价绍	6058
决心	3104
外卖	4816
能否	3257
换到	2988
横扫	5914
蓝蓝的	3526
出声	6653
喜	4147
问问	5593
旮旯	439
程序	6785
招呼	5457
娇艳欲滴	6083
快点	465
居然	313
会活	6263
心静	2136
鱼缸	6102
脸色	1664
这碗	1624
外星	4776
耳机	3816
白糖	4036
日文	6761
快热	1983
不及格	2171
和我结婚	6191
我滴个	4854
看车	4709
包装	3822
骑车	6625
我该怎么办	4865
三国杀	5623
什么样	65
小魔仙	6011
sorry	253
场	2942
白富美	5665
字典	567
食物	3107
办成	2728
篮球	4618
爆米花	6567
不疼	964
关系	2826
仿佛	2043
扬	6462
幻觉	1685
种颜色	5082
下班时间	672
调情	5843
口味	4138
不畅	1177
鼻子	1109
成功	1489
是	4
湿透	1981
精选	3114
讲	194
爷	6025
情况	3432
咸	4139
没脚	5571
不留	6354
发嗲	6584
出场费	6717
下象棋	6318
搜榜	5202
不用	1781
一点点	2474
网络游戏	6169
教	4559
100	6249
来由	4746
唐诗	5298
公共电话	1964
乐队	5277
详细	4829
太卖萌	5597
不生	5360
向上	5961
广	4941
傅园慧	6244
简历	2234
拿到	2259
弄错	2688
挣钱	5903
可笑	2658
主角	6696
数数	5717
不早了	548
乌黑	3511
西红柿炒鸡蛋	6416
鬼	1825
做点	2035
安迪	6690
难为情	3659
白色	5001
短发	3494
读书	3851
以为	2186
没能	1926
客服	125
那里	447
灭火	1188
温州	5689
跳	3453
发呆	5519
遍地开花	4975
难过	827
称做	3622
honey	5394
立刻	514
可算	5785
未来	13
想要	858
在那里	3954
暴躁	6496
怎么了	884
陌陌	4658
配合	5529
第一次	4798
体型	2312
大变样	6738
人渐	2317
从头到尾	251
前	3770
thankyou	402
白羊座	4440
音响	4064
简单	2899
十万块	6144
拥抱	5882
榜样	4241
不理	3718
第一步	4392
感到高兴	4478
周杰伦	5110
第二句	5491
不知	1627
服务员	2449
记错	2514
窗帘	5083
嬉闹	2077
郭德纲	5284
手指	3541
遇到	1620
老年痴呆	2518
可以使用	3998
牛	376
半夜	1692
调戏	414
傻缺	6840
重	1027
二手烟	2405
骄傲自大	6060
对称	3620
约个	5865
调成	4057
哎哟喂	5572
丽	1652
lucy	3960
暴走	5589
半天	2700
杨幂	3979
来跳舞吧	4551
故意	97
哪点	4117
看路	6284
每次	1310
喝多	6388
笑	228
常常	1291
因为	1079
吃不下	981
顺手	2469
刚学	4919
来着	4848
很渴	1896
开发者	6045
点赞	2572
幸运	3097
转移	6408
十块钱	5330
说同	6061
从业者	4094
礼物	61
seeyou	613
罩	2416
补考	2145
更累	3242
填饱	5353
傲慢	2592
总以为	2026
脸红	3665
王	3174
累心	5723
巡山	5607
温吞	2511
买手机	2087
让步	6417
由来	4067
贴	1697
再聚	616
推家	6657
强项	4406
毛	4482
么么哒	412
矣	3749
再考	6295
约会	2262
考场	2909
韩语	6343
公主	2884
请客	4500
将会	1741
不白	6342
生活节奏	3853
操场上	2072
特殊	3338
大	333
光头	3497
支	4545
李开复	4136
天要	6788
人民	5987
大腿	3012
哪办	6704
发图	6085
友善	389
路在何方	4175
被骗	1336
变化很大	6440
晕车	1036
相互了解	5536
公交	2277
一不小心	642
显示	4380
着凉	1097
细胞	386
技术	5305
⌚	694
真难	2188
那	426
赴死	6570
具体位置	3758
真要命	1172
点评	4638
亲爱的	699
段	821
区	3915
听懂	815
累垮	1994
无吸引力	2579
情商	4365
午安	5372
订到	3902
冒汗	1879
拥有	369
走样	3049
迷恋	6652
开饭	1694
废物	2800
错乱	1534
不熟	1626
冒汉	1967
语言	3878
游戏机	5280
白努力	2321
doyouloveme	6484
瘦下去	3105
重点	2907
几许	5720
颧骨	3646
体力	523
献身	6240
伊利	6171
你这样	407
女性	4767
心水	5014
发出	6667
不然	1549
孕	3055
精气神	3359
配音演员	5250
不可能	182
新出	3807
损害	3126
愚蠢	2770
带上	3920
是从	3332
房地产	5669
跳舞	3327
不热	1748
英文	3311
聊天儿	869
卓伟	5191
订单	2196
闹钟	2270
点	476
瘦成	3001
搞定	3023
难读	3313
世界杯	5289
弥补	237
前天	5481
姓	3255
来点	2439
表扬	3013
欣赏	3832
应该	99
俯卧	3621
商场	2061
想起	1399
交往	4537
歇息	562
炒股	5828
搁	2530
得了	1164
麻辣鸡翅	5365
特效药	1173
陪伴	1723
哄哄	6487
得事	4411
生理期	5891
做错	133
酷爱	4611
火星	4775
型血	4355
蛋清	4028
称呼	3249
躲	1780
歌迷	5128
配偶	4230
绝望	1533
恳求	5213
远	49
黑眼圈	1290
受到	6184
推崇	5163
遨游	3912
受凉	6372
自动更新	6435
手机	1369
意义	1518
结果	2484
手有	3547
笑话	197
记得你	4225
情场	2211
眼袋	1287
来玩	6511
手来	5985
你在吗	5472
不玩	779
像	344
死不要脸	2672
红包	6532
傻笑	6052
改名	4303
电影院	2278
口腔溃疡	1191
难	857
我拒绝	774
快要	1359
推广	3813
消逝	490
尊称	4129
狐狸	4403
何地	3779
我萌到	2895
还会	3820
傅盛	4122
使用	2614
范冰冰	4965
看见	471
脱件	1989
性感	6022
有错	5501
合口味	4140
程度	2748
完全	2455
太阳	1913
培养	4364
脱了	1953
睡	687
烟瘾	2345
装修	6213
结束	585
辣条	3403
刘德华	5119
消遣	4938
测体温	6378
裤子	2980
沟通交流	6145
会病	1135
手是	3557
统治	5588
情绪低落	1636
39.5	1151
眠	1295
说出	3252
驾回	5495
请开	5496
笨	2703
播	5169
提出	659
酷热	4613
成语接龙	5795
减	2302
黑	1366
解决	1202
双眼	6281
劝说	2332
有钱	2248
黄色	5081
意会	2189
闷	2085
哈欠	3196
了	26
染过色	3515
综艺	5826
下班	549
人格	6153
海水	6141
暖	5895
地上	2802
唐宋八	5812
网购	4149
挑剔	2184
约	4501
这能	5327
男	1346
害得	1650
靠边站	445
不爽	1485
改善	3343
记都	2532
优点	3455
比如	3583
表情	2886
i服了you	5953
缩水	6877
做题	2368
脸疼	1068
送给	6357
拉稀	1220
切克	6198
危机	3725
表演	4558
忧心	2156
组成	4881
强	1409
全心全意	2955
可爱	163
见	178
真高	4357
老二	4227
心情	457
想聊	5345
晚安好梦	6801
去世	3727
周	691
住址	4896
志玲	6321
仔有	5193
心想	1125
老人	4276
陪我聊会天	828
太顺	1503
他妈	4229
老毛病	1252
班上	6621
隔	6591
心思	6070
甜品	5048
老乡	3764
堪忧	2832
吹口哨	5663
何处	3775
雷军	4104
优美	1811
女主播	5996
这辆	4997
给力	6326
俚	2738
读书会	6535
你练	3610
吻我	6363
炒菜	4805
开门	5479
没皮没脸	2680
这边	299
过来	2444
妇女节	5379
韩国语	6208
壮烈	6569
海报	5149
养家	6675
山水画	6565
活泼	6277
补课	1575
搞清楚	5796
价格	3123
小名儿	3265
说心	3240
联络	813
冬眠	3218
用	212
滴滴	5312
本宫	732
海投	6003
傻白甜	2776
一天到晚	6836
魔方	6728
freestyle	6882
郑	2341
笨妞	6817
治感冒	1101
泯灭	491
陪	1730
肠炎	1229
碰面	5407
庇护	5209
祝您	5539
就是	336
都爱	4144
全家	5613
fuck	6665
逃跑	4749
死皮赖脸	2677
温度	1734
减不	2329
胡萝卜	6573
请原谅	3400
傻瓜	2771
心愿	4399
内容	820
香蕉	5725
久	1136
先借	2355
上道	2784
蒙牛	6173
绝境	1507
买件	6319
年龄	3466
菜	1683
乘法	5792
做饭	2360
门	2393
养	2244
我想跟你说	5503
有钱人	4109
请别	663
没记	2541
肚子	942
没设	2276
青睐	5133
脂肪	2328
估计	1223
理他	4909
加薪	3017
形	4313
没说	5755
橘子	1197
赚	2945
古风	4951
先去	697
烧	1154
不美	1651
桥梁	4390
造成	2645
晒娃	5701
厨艺	4811
男朋友	796
梦想	2552
有	47
喜怒哀乐	5565
朋友们	3297
任务	279
冒	1043
备胎	5918
进行	5537
再见	586
动作	2496
特技	4409
绝对	771
好用	2475
他家	3692
侍寝	5995
吓人	2094
儿童节	5383
卑	2737
请勿	669
另	2485
雨	1868
单位	2241
脸皮	2683
联系	607
全班	2625
欢快	4948
我的世界	5954
辞职	2203
此刻	6676
裙子	4653
屁股	2001
凉爽	2036
媳妇儿	5737
奶茶妹妹	6348
抱	2490
车太晃	1019
谈天	798
死宅	5762
尺	5636
句子	1812
改天	615
不约	5893
你现在在哪	4835
10	3090
大树底下好乘凉	425
开除	1864
坨	3616
这谢	5215
路	1425
聚一聚	4875
整	1501
别去	690
小朋友	4029
听清	284
张继科	5913
演讲	3449
缺点	3460
先前	2604
码数	4317
边会	6118
达标	2206
那部	4702
十二生肖	6162
回头见	608
首席执行官	6431
图书馆	4715
靓	3517
刚刚	287
还	123
考得	5970
一心一意	2951
猴子	2664
哪	87
哪种	4336
雕像	3980
我想和你在一起	5950
原因	1127
没趣	6622
支撑不了	3195
胡扯	5911
吐	842
路途	2309
复习功课	4505
烦会	2107
传来	5759
蹦极	1017
熬到	5356
好不	831
堂妹	4212
订婚	3149
黄衣服	5176
get	3808
享有	5088
体验	1802
好书	5885
瘦身	2981
小孩子	4157
家庭成员	3475
会红	3682
好久	4159
木有	1909
好事	6468
生日蛋糕	4412
愉	4472
好人	6727
水瓶座	4445
职责	5477
再过	3157
烹调	5304
小笨蛋	6797
好些	6119
硬件	2705
好了	1548
孤孤单单	1720
特撑	960
评价	3446
